job_id,resume_id,job_title,job_description,resume_category,resume_text,is_related
3887495906,101,operations associate (financial services),"Do you love the financial services industry? Do you want to be part of a broker dealer or hedge fund firm that has continuous growth and competitive benefits? 
Seek no further and APPLY BELOW! 
Our client within financial services is seeking a Operations Associate to perform day-to-day operational procedures for the investment business.
ResponsibilitiesPreparing and processing all paperwork needed for investment accounts.Maintaining client case files, performance reports, account forms and other paperwork required.Preparing all materials for quarterly and annual reviews.Preparing proposals and investment policy statements for advisory clients.Create and monitor an activities system for account follow ups and service requirements..Collaborates with Advisor regarding allocation and planning strategies.Responding to back office inquiries.Preparing client letters and other written communication as requested.Expedites and tracks all account transfers, rollovers and mutual fund networking.Ga",operations manager,"KEY COMPETENCIES â¶Multi - Operations Managementâ¶People Management â¶Customer Services - Emails â¶ MIS â¶Vendor & Client Services Managementâ¶Cross Functional Coordinationâ¶Banking & Financial Servicesâ¶ Transaction Monitoring * ATM Operations â¶ & Prepaid Card Operations (Pre-Issuance & Post-Issuance) â¶ POS Operations * JOB PROFILE & SKILLS: â¢ An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. â¢ Extensive experience in managing operations with demonstrated leadership qualities & organisational skills during the tenure. â¢ Managing customer centric operations & ensuring customer satisfaction by achieving service quality norms. â¢ Analyzing of all operational problems, customer complaints and take preventive and corrective actions to resolve the same. â¢ Receive and respond to Key customer inquiries in an effective manner and provide relevant and timely information. â¢ ",1
3901938386,101,truck driver - local class a - penske logistics,"Immediate Opportunities: Full-time Local Class A CDL Truck Drivers

 Average $72800 annually Local, Home Daily

You will drive:

 Late model, Penske Truck Leasing trucks Best-in-class specs designed for comfort

What you will do:

 Make dock-to-dock deliveries of palletized grocery products locally All local deliveries, drivers will be home every day

Schedule:

 Four-day work week PM start time

Comprehensive benefits package includes:

 Paid vacation and holidays day 1 Generous retirement benefits Excellent health care coverage-medical, dental, and vision Short and long-term disability; life and AD&D insurance Company-provided uniforms and safety footwear Employee discount benefit program Driver referral bonus program up to $5000 per referral Safety incentive program Premier Driver Recognition Program

Why Penske?

Ready to put your truck-driving career in high gear? Make the shift and fuel your career as a CDL Class A Truck Driver for Penske. When you join Penske, you join a team of",operations manager,"KEY COMPETENCIES â¶Multi - Operations Managementâ¶People Management â¶Customer Services - Emails â¶ MIS â¶Vendor & Client Services Managementâ¶Cross Functional Coordinationâ¶Banking & Financial Servicesâ¶ Transaction Monitoring * ATM Operations â¶ & Prepaid Card Operations (Pre-Issuance & Post-Issuance) â¶ POS Operations * JOB PROFILE & SKILLS: â¢ An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. â¢ Extensive experience in managing operations with demonstrated leadership qualities & organisational skills during the tenure. â¢ Managing customer centric operations & ensuring customer satisfaction by achieving service quality norms. â¢ Analyzing of all operational problems, customer complaints and take preventive and corrective actions to resolve the same. â¢ Receive and respond to Key customer inquiries in an effective manner and provide relevant and timely information. â¢ ",1
3895800096,101,manager - operations (wm),"Salary Range: $84,100 - $112,100 annually
At Midland States Bank, base salary is one component of our Total Rewards program. Exact compensation is determined by factors such as (but not limited to) education, skills, internal equity, and experience. This position offers additional compensation in the form of short-term incentives (i.e. bonus and/or commission) and may include long-term incentives (i.e. stock awards). Benefits for this role include comprehensive healthcare, well-being benefits, paid family leave as well as generous paid time off. Total Rewards also include banking perks, an Employee Stock Purchase Plan, 401K plan with company match and may include the opportunity to participate in our Non-Qualified Deferred Compensation plan. Incentives and benefits are subject to eligibility requirements. Position Summary The Manager - Operations WM is responsible for managing the Wealth Management Operations department. Operational activities include securities processing, cashiering,",operations manager,"KEY COMPETENCIES â¶Multi - Operations Managementâ¶People Management â¶Customer Services - Emails â¶ MIS â¶Vendor & Client Services Managementâ¶Cross Functional Coordinationâ¶Banking & Financial Servicesâ¶ Transaction Monitoring * ATM Operations â¶ & Prepaid Card Operations (Pre-Issuance & Post-Issuance) â¶ POS Operations * JOB PROFILE & SKILLS: â¢ An effective communicator with excellent relationship building & interpersonal skills. Strong analytical, problem solving & organizational abilities. â¢ Extensive experience in managing operations with demonstrated leadership qualities & organisational skills during the tenure. â¢ Managing customer centric operations & ensuring customer satisfaction by achieving service quality norms. â¢ Analyzing of all operational problems, customer complaints and take preventive and corrective actions to resolve the same. â¢ Receive and respond to Key customer inquiries in an effective manner and provide relevant and timely information. â¢ ",1
3904372360,137,sr. advisory data engineer,"Syniverse is the world’s most connected company. Whether we’re developing the technology that enables intelligent cars to safely react to traffic changes or freeing travelers to explore by keeping their devices online wherever they go, we believe in leading the world forward. Which is why we work with some of the world’s most recognized brands. Eight of the top 10 banks. Four of the top 5 global technology companies. Over 900 communications providers. And how we’re able to provide our incredible talent with an innovative culture and great benefits.

Who We're Looking For

We are looking for a savvy Senior Advisory Data Engineer to join our growing team of analytics experts. The Senior Advisory Data Engineer will be responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams. The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and b",hadoop,"Skill Set: Hadoop, Map Reduce, HDFS, Hive, Sqoop, java. Duration: 2016 to 2017. Role: Hadoop Developer Rplus offers an quick, simple and powerful cloud based Solution, Demand Sense to accurately predict demand for your product in all your markets which Combines Enterprise and External Data to predict demand more accurately through Uses Social Conversation and Sentiments to derive demand and Identifies significant drivers of sale out of hordes of factors that Selects the best suited model out of multiple forecasting models for each product. Responsibilities: â¢ Involved in deploying the product for customers, gathering requirements and algorithm optimization at backend of the product. â¢ Load and transform Large Datasets of structured semi structured. â¢ Responsible to manage data coming from different sources and application â¢ Supported Map Reduce Programs those are running on the cluster â¢ Involved in creating Hive tables, loading with data and writing hive queries which will r",1
3901170140,137,lead data engineer with strong scala (10 years minimum),"Lead Data Engineer with Strong ScalaBristol, CTLong term contract
Required Education, Experience/Skills/Training:Minimum and Preferred. Inclusive of Licenses/Certs (include functional experience as well as behavioral attributes and/or leadership capabilities)Basic Qualifications • 8 years of data engineering experience developing large data pipelines• Strong algorithmic problem-solving expertise• Strong fundamental Scala and Python programming skills• Basic understanding of AWS or other cloud provider resources (S3)• Strong SQL skills and ability to create queries to analyze complex datasets• Hands-on production environment experience with distributed processing systems such as Spark• Hands-on production experience with data pipeline orchestration systems such as Airflow for creating and maintaining data pipelines• Some scripting language experience• Willingness and ability to learn and pick up new skillsets• Self-starting problem solver with an eye for detail and excellent analytical ",hadoop,"Skill Set: Hadoop, Map Reduce, HDFS, Hive, Sqoop, java. Duration: 2016 to 2017. Role: Hadoop Developer Rplus offers an quick, simple and powerful cloud based Solution, Demand Sense to accurately predict demand for your product in all your markets which Combines Enterprise and External Data to predict demand more accurately through Uses Social Conversation and Sentiments to derive demand and Identifies significant drivers of sale out of hordes of factors that Selects the best suited model out of multiple forecasting models for each product. Responsibilities: â¢ Involved in deploying the product for customers, gathering requirements and algorithm optimization at backend of the product. â¢ Load and transform Large Datasets of structured semi structured. â¢ Responsible to manage data coming from different sources and application â¢ Supported Map Reduce Programs those are running on the cluster â¢ Involved in creating Hive tables, loading with data and writing hive queries which will r",1
3904950518,137,senior data engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Overture Partners, LLC, is seeking the following. Apply via Dice today!

Overture Partners' client has an immediate need for a Senior Data Engineer. To secure an interview for this role, candidates must meet the following criteria:

 This is a Permanent role in Greater Boston and is a Hybrid Model.

Must Haves:

AWSPythonAdvanced data platforms like Snowflake, Redshift, and Databricks.Experience with AI Technologies

What the Client Needs you to Do:

In this role you will leverage your expertise in Artificial Intelligence to drive data-driven solutions. Responsibilities include optimizing data pipelines, implementing AI algorithms, and leveraging cloud technologies for scalable data solutions. Bring your proficiency in SQL, Python, and cloud platforms to architect, develop, and maintain data infrastructure. Collaborate with cross-functional teams to deliver impactful insights. Must have",hadoop,"Skill Set: Hadoop, Map Reduce, HDFS, Hive, Sqoop, java. Duration: 2016 to 2017. Role: Hadoop Developer Rplus offers an quick, simple and powerful cloud based Solution, Demand Sense to accurately predict demand for your product in all your markets which Combines Enterprise and External Data to predict demand more accurately through Uses Social Conversation and Sentiments to derive demand and Identifies significant drivers of sale out of hordes of factors that Selects the best suited model out of multiple forecasting models for each product. Responsibilities: â¢ Involved in deploying the product for customers, gathering requirements and algorithm optimization at backend of the product. â¢ Load and transform Large Datasets of structured semi structured. â¢ Responsible to manage data coming from different sources and application â¢ Supported Map Reduce Programs those are running on the cluster â¢ Involved in creating Hive tables, loading with data and writing hive queries which will r",1
3904929494,79,business analyst (need  local consultant),"Minimum 12+ Years of Candidate we are looking for.
JDs;""Responsible for identifying & documenting functional requirements (functional design document, user stories and features) that meet business requirements.* Talk to Product owner , Functional team and respective stakeholders to gather the requirement and document the same* Document the requirement and explain the same to Development team to implementation * Provide the clarity to development team on the functionality document* be part of the demo and provide the clairitication and feedback* Take the solution to customer and provide the dmeo and get it confirmed Work with development team on implementation of the requirements.Perform system / functional testing""",business analyst,"IT Skills: Area Exposure Modeling Tool: Bizagi, MS Visio Prototyping Tool: Indigo Studio. Documentation: MS Office (MS Word, MS Excel, MS Power Point) Testing Proficiency: Smoke, Sanity, Integration, Functional, Acceptance and UI Methodology implemented: Waterfall, Agile (Scrum) Database: SQL Testing Tool: HPQC Business Exposure Education Details 
 Bachelor Of Computer Engineering Computer Engineering Mumbai, Maharashtra Thadomal Shahani Engineering college
 Diploma Computer Engineering Ulhasnagar, Maharashtra Institute of Technology
 Secondary School Certificate  Ulhasnagar, Maharashtra New English High School
Senior Business Analyst - RPA 

Senior Business Analyst - RPA - Hexaware Technologies
Skill Details 
DOCUMENTATION- Exprience - 47 months
TESTING- Exprience - 29 months
INTEGRATION- Exprience - 25 months
INTEGRATOR- Exprience - 25 months
PROTOTYPE- Exprience - 13 monthsCompany Details 
company - Hexaware Technologies
description - Working as a RPA Business Analyst",1
3904512165,79,technical business analyst,"The position is described below. If you want to apply, click the Apply button at the top or bottom of this page. You'll be required to create an account or sign in to an existing one.

Need Help?

If you have a disability and need assistance with the application, you can request a reasonable accommodation. Send an email to Accessibility (accommodation requests only; other inquiries won't receive a response).

Regular or Temporary:

Regular

Language Fluency: English (Required)

Work Shift:

1st shift (United States of America)

Please review the following job description:

Provide process, design and analysis support for developing solutions for interfacing business applications. Manage or participate in requirements elicitation process for small and medium work efforts. Provide project management for smaller projects and business enhancements.

Essential Duties And Responsibilities

Following is a summary of the essential functions for this job. Other duties may be performed, both maj",business analyst,"IT Skills: Area Exposure Modeling Tool: Bizagi, MS Visio Prototyping Tool: Indigo Studio. Documentation: MS Office (MS Word, MS Excel, MS Power Point) Testing Proficiency: Smoke, Sanity, Integration, Functional, Acceptance and UI Methodology implemented: Waterfall, Agile (Scrum) Database: SQL Testing Tool: HPQC Business Exposure Education Details 
 Bachelor Of Computer Engineering Computer Engineering Mumbai, Maharashtra Thadomal Shahani Engineering college
 Diploma Computer Engineering Ulhasnagar, Maharashtra Institute of Technology
 Secondary School Certificate  Ulhasnagar, Maharashtra New English High School
Senior Business Analyst - RPA 

Senior Business Analyst - RPA - Hexaware Technologies
Skill Details 
DOCUMENTATION- Exprience - 47 months
TESTING- Exprience - 29 months
INTEGRATION- Exprience - 25 months
INTEGRATOR- Exprience - 25 months
PROTOTYPE- Exprience - 13 monthsCompany Details 
company - Hexaware Technologies
description - Working as a RPA Business Analyst",1
3901934969,79,business analyst - investment management,"The client is looking for a driven, motivated, experienced Business Analyst and Project Manager who understands the Investment/Asset Management business and can excel in a fast-paced environment transitioning to Agile.
Compensation:Rate is open (all rates commensurate with experience are welcome)
Location:Chicago, IL (Hybrid)
Visa Status:Green Card Holders and US Citizens(Independent Consultants C2C/1099)H1B visa holders (Open to C2C candidates)
Qualifications
5+ years of Investment/Asset Management experienceMid to senior (5-8 years) project management and planning experience with a proven track record of executing against a defined project plan and driving projects through successful execution implementation on time and budgetMid to senior (5-8 years) business analysis, requirements gathering, research/analysis, and assessment skillsStrong understanding of front to middle office, portfolio management and trading, and the full trade lifecycleExperience with scope definition, gap analy",business analyst,"IT Skills: Area Exposure Modeling Tool: Bizagi, MS Visio Prototyping Tool: Indigo Studio. Documentation: MS Office (MS Word, MS Excel, MS Power Point) Testing Proficiency: Smoke, Sanity, Integration, Functional, Acceptance and UI Methodology implemented: Waterfall, Agile (Scrum) Database: SQL Testing Tool: HPQC Business Exposure Education Details 
 Bachelor Of Computer Engineering Computer Engineering Mumbai, Maharashtra Thadomal Shahani Engineering college
 Diploma Computer Engineering Ulhasnagar, Maharashtra Institute of Technology
 Secondary School Certificate  Ulhasnagar, Maharashtra New English High School
Senior Business Analyst - RPA 

Senior Business Analyst - RPA - Hexaware Technologies
Skill Details 
DOCUMENTATION- Exprience - 47 months
TESTING- Exprience - 29 months
INTEGRATION- Exprience - 25 months
INTEGRATOR- Exprience - 25 months
PROTOTYPE- Exprience - 13 monthsCompany Details 
company - Hexaware Technologies
description - Working as a RPA Business Analyst",1
3895542330,57,"developer i, infrastructure development & automation","Overview

Job Purpose

ICE owns and operates the world's most advanced financial infrastructure tasked with handling millions of transactions as well as carrying market data worldwide. Our infrastructure is designed from the ground up to meet our unique performance constraints while remaining impeccably reliable. By joining the Infrastructure Development & Automation team, you will aid us in building and maintaining this infrastructure as well as helping us continue to push the envelope with state-of-the-art technologies.

A successful candidate will gain invaluable hands-on experience with state-of-the-art equipment and innovative technologies in systems automation, computer networks, as well as an understanding of network protocols, concepts, and solutions. The experience will not be limited to technology - this is also an opportunity to get a good understanding of the operation of a global organization, how global teams interact, how projects are developed, solutions implemented, an",civil engineer,"Education Details 
 B.E in Civil Engineering Civil Engineering Chennai, Tamil Nadu Anna University
QA/QC Civil Engineer 

QA/QC Civil Engineer
Skill Details 
Company Details 
company - Ray Engineering Limited
description - Mumbai, India.
Consultancy: Jacobs Engineering India Limits. (United States Company)
Client: Glaxo Smith Kline (GSK), Nashik, India.
Position: QA/QC Civil Engineer.

Project Summary:
Glaxo Smith Kline (GSK) is British multinational pharmaceutical Company in India. USD 150 million Building project of GSK.
The Project involving in Medicine Manufacturing plant, Effluent Treatment plant
(ETP), Effluent Drain line and storm water line.

Duties & Responsibilities:

â¢	All site inspection shall be carried out vise an official Inspection and Test Request
(ITR) submitted by the Contractor through the proper channels
â¢	Develop method statement for the activity including risk assessment and job safety
environmental analysis and Inspection Test Plan and",1
